"beta0","runtime","actor_name_score","studio_score","crew_member_score","season_autumn","season_spring","season_summer"
-1.86214,0.299748,0.338803,0.0841182,0.700963,0.189714,0.1479,0.193155
-2.06148,0.393334,0.258556,0.110118,0.599172,0.118984,0.133514,0.198744
-1.93201,0.314532,0.283962,0.12956,0.555115,0.11842,0.216932,0.0778882
-2.08488,0.384349,0.355992,0.120832,0.532088,0.18904,0.185946,0.0968589
-2.07041,0.232164,0.528419,0.054058,0.699334,0.121703,0.297149,0.245379
-2.02894,0.255601,0.497916,0.214203,0.570966,0.163112,0.128266,0.146246
-2.03771,0.271495,0.488613,0.204738,0.549494,0.181283,0.169295,0.0862697
-2.22358,0.259902,0.582089,0.132772,0.479683,0.181655,0.081922,0.0132321
-2.02802,0.251007,0.46007,0.0754758,0.522903,0.0817611,0.15675,-0.0870293
-2.14065,0.256842,0.45994,0.0561809,0.567478,0.0617298,0.180495,0.0998777
-2.06465,0.297791,0.406311,0.149998,0.565699,0.0983677,0.0959281,-0.000439399
-1.97073,0.166993,0.529079,0.0953999,0.668248,0.26026,0.118891,0.147199
-1.95975,0.274642,0.577337,0.097215,0.473081,0.0820016,0.107193,0.148764
-1.95422,0.20645,0.468709,-0.00572914,0.656426,0.280884,0.118755,0.114855
-2.05165,0.272137,0.441475,-0.0206597,0.724678,0.269365,0.137575,0.0343192
-1.92002,0.346786,0.437434,0.221576,0.501699,0.206824,0.231899,0.139756
-2.00925,0.33863,0.509279,0.159652,0.411103,0.238066,0.225144,0.177581
-1.94203,0.0818688,0.582434,0.103361,0.595817,0.018688,0.147356,0.159745
-2.02596,0.203249,0.472833,0.0658344,0.589034,0.0815055,0.311614,0.108863
-2.0515,0.412932,0.404183,0.0809337,0.501986,0.242772,0.359567,0.149877
-1.98794,0.163571,0.433406,0.209049,0.733941,0.0201908,0.17245,0.218983
-2.0834,0.385716,0.621026,0.135724,0.504612,0.0687741,0.229568,0.202539
-2.05418,0.116825,0.456711,0.190238,0.512355,0.0126669,0.267925,0.220028
-2.07662,0.297705,0.626582,0.0996146,0.494485,0.145524,0.0964482,0.0117078
-1.94237,0.272563,0.536661,0.125791,0.509395,0.136582,0.134341,0.148949
-2.05445,0.196463,0.591822,0.0497939,0.572199,0.120031,0.239639,0.146809
-1.98649,0.210663,0.636079,0.160465,0.512641,0.11776,0.246757,-0.0491557
-2.02677,0.214417,0.681305,0.0953859,0.508032,0.210442,0.140129,0.270858
-2.12215,0.294436,0.583421,0.0676159,0.54091,0.0961624,0.268444,0.205928
-2.05037,0.382701,0.657193,0.100951,0.490648,0.230368,0.0788701,0.193588
-2.00976,0.393627,0.404011,0.194754,0.454982,0.0455554,0.13109,0.264487
-1.95034,0.379169,0.500517,-0.0502293,0.6515,0.15489,0.157338,0.182367
-2.03496,0.358214,0.49185,0.155781,0.419632,0.145283,0.108983,0.187927
-2.10936,0.308523,0.548788,0.0883998,0.544362,0.189781,0.156106,0.163614
-2.05562,0.253262,0.42811,0.120858,0.618009,0.0732352,0.13831,0.0763405
-2.05461,0.190345,0.474193,0.181848,0.514882,0.0431683,0.215172,0.0990151
-2.13788,0.277857,0.39535,0.225183,0.495503,0.152788,0.108643,0.18751
-2.18268,0.284141,0.601423,0.339518,0.498287,0.138405,0.141486,-0.0617535
-1.92337,0.299441,0.311416,0.281243,0.492548,0.124961,0.136103,0.140111
-1.98548,0.250296,0.463136,0.136749,0.583713,0.118303,0.152281,0.185918
-1.92614,0.287609,0.473927,0.180618,0.429791,0.118314,0.0392854,0.0537858
-2.09429,0.333848,0.423326,0.119324,0.576846,0.131472,0.134964,0.0336031
-1.99802,0.367045,0.488945,-0.0565232,0.505465,0.115666,0.19768,0.142214
-2.00888,0.182858,0.499347,0.139945,0.546597,0.269724,0.269982,0.15733
-2.04526,0.239639,0.437454,0.217983,0.502469,0.15766,0.19856,0.112739
-1.99298,0.340116,0.395037,0.124732,0.616143,0.247301,0.264987,0.0746701
-2.00892,0.264087,0.474903,0.216978,0.553102,0.151567,0.167829,0.139265
-2.05346,0.374829,0.411568,0.182399,0.535351,0.0425018,0.0939877,-0.015198
-2.09458,0.425491,0.389056,0.19625,0.526927,0.155792,0.180803,0.102041
-2.01062,0.337134,0.479247,0.0413,0.527937,0.13252,-0.0356825,0.105769
-2.05892,0.324305,0.521151,0.168606,0.533071,0.0425526,0.0624086,-0.00951696
-2.01577,0.268496,0.432134,0.16454,0.541143,0.0242142,0.161828,0.0589488
-2.08465,0.307224,0.458405,0.188688,0.454325,0.0762994,0.2654,0.209088
-1.96755,0.294962,0.497324,0.0196712,0.53696,0.11821,0.0247337,0.0371005
-2.05653,0.39741,0.400148,0.176778,0.576574,0.0324875,0.111741,0.0357151
-2.15054,0.229829,0.608764,0.104747,0.574884,0.0813727,0.144924,-0.0189743
-2.01577,0.349498,0.506297,0.0789248,0.478198,0.110453,0.174361,-0.0307284
-2.03744,0.336377,0.55688,0.174446,0.460834,0.115788,0.206292,0.20633
-1.93725,0.251426,0.498765,0.0228759,0.507597,0.0921846,0.0889563,0.0648456
-1.96493,0.196149,0.51552,0.142283,0.561284,0.133832,0.146493,0.0193885
-2.03201,0.240317,0.562435,0.150482,0.457762,0.128834,0.038222,-0.0251537
-1.93717,0.251412,0.36995,0.311738,0.574377,0.129923,0.0717757,0.10425
-1.93927,0.163475,0.416669,0.0608686,0.573304,0.0908976,0.0189011,-0.0623471
-1.97976,0.290768,0.420632,0.211796,0.609281,0.216794,0.0905878,0.116084
-1.9023,0.188095,0.466195,0.115529,0.564141,0.111898,0.0510963,0.185315
-1.95775,0.241021,0.491975,0.0136761,0.487981,0.191238,0.0763545,0.181119
-1.8073,0.34607,0.406189,0.147073,0.518594,0.139653,0.116844,0.0393489
-1.88277,0.28872,0.346035,0.103445,0.564929,-0.0289007,0.117283,0.074378
-2.00789,0.308246,0.317831,0.055973,0.655947,0.137159,0.145032,-0.00584969
-2.02352,0.385108,0.184111,0.170863,0.751874,0.127486,0.183699,0.10368
-1.96802,0.349912,0.363972,0.100205,0.626444,0.264948,0.145899,0.151556
-2.07472,0.379224,0.681691,0.185163,0.336152,0.143128,0.126007,0.162919
-1.95239,0.236589,0.500533,0.0090169,0.573716,0.180911,0.293558,0.211134
-1.89528,0.255848,0.508845,-0.0267698,0.607127,-0.100855,0.0382859,0.040784
-2.14846,0.219643,0.541756,-0.00981859,0.685616,0.230792,0.0811763,-0.0340016
-2.2822,0.265231,0.616506,0.135756,0.737102,0.0247794,0.117738,-0.0652469
-1.95781,0.24374,0.321671,0.00203025,0.677226,-0.0930224,0.0600324,-0.149149
-1.92345,0.126308,0.45089,0.101972,0.675573,0.128233,0.0351645,0.0854454
-1.87619,0.304783,0.509403,0.175888,0.486406,0.120105,0.266236,0.0323777
-1.91874,0.409444,0.311868,0.0794032,0.42486,0.168123,0.209303,0.110873
-2.10943,0.308335,0.520651,0.074329,0.572226,0.0773264,0.19794,0.161371
-1.99616,0.381568,0.390812,0.170786,0.618705,0.201275,0.298858,0.135287
-2.04368,0.33134,0.410902,0.264617,0.536746,0.163959,0.189918,0.127992
-2.02173,0.242385,0.452928,-0.00677796,0.719264,0.271103,0.360256,0.320076
-2.11813,0.180808,0.417207,0.205355,0.681114,-0.0263491,0.236365,0.0289308
-2.02683,0.350441,0.442981,0.244419,0.682204,0.17983,0.0931636,-0.152187
-1.97442,0.269861,0.419105,0.0736912,0.512446,0.193436,0.139609,-0.00141705
-1.99615,0.254796,0.429699,0.226499,0.590184,0.198625,0.150063,0.0401234
-1.99051,0.183709,0.561563,0.0925506,0.641988,0.142441,0.0674844,0.0776749
-2.00481,0.293966,0.427038,0.131971,0.539296,0.198468,0.100563,0.0847234
-2.17056,0.351834,0.538196,0.250049,0.557968,0.143475,0.143004,-0.0380355
-2.09645,0.318223,0.538634,0.0308928,0.593049,0.110691,0.221554,0.263095
-2.09366,0.266962,0.489202,0.111407,0.634235,0.212719,0.307053,0.287389
-2.02211,0.18801,0.515736,0.128629,0.533858,0.286367,0.315811,0.186867
-2.08927,0.316431,0.349811,0.241443,0.526923,0.00736206,0.116051,0.0512667
-2.11015,0.248492,0.429818,0.249154,0.586005,-0.0234344,0.069835,0.0301918
-2.1142,0.338252,0.612776,0.0468394,0.551581,-0.0348931,-0.0474082,-0.0244359
-2.06991,0.358989,0.522362,0.101128,0.479511,-0.14968,0.138571,0.0559602
-2.06679,0.286169,0.543806,0.183525,0.508049,-0.0345351,0.128191,0.0153494
-2.09043,0.291382,0.586436,0.142034,0.521275,0.177502,0.157016,0.0236253
-2.07367,0.287902,0.381302,0.129715,0.688929,-0.00293369,0.194707,0.151619
-1.98751,0.200408,0.484801,0.115717,0.63544,0.235851,0.186788,0.206879
-2.06209,0.213305,0.495395,0.189146,0.518831,0.0984746,-0.0269655,0.128598
-1.86944,0.237575,0.397837,0.12938,0.657253,0.150126,0.00944279,-0.158382
-2.17453,0.131209,0.441254,0.321254,0.678138,0.295639,0.154951,-0.0405703
-2.12298,0.192535,0.571739,0.196497,0.62514,0.343134,0.255334,0.172425
-2.14759,0.273931,0.538036,0.0970465,0.605016,0.0904826,0.146696,0.0809887
-2.02181,0.321648,0.454804,0.130105,0.426703,0.126942,0.154927,0.106834
-2.03383,0.383578,0.430663,0.142435,0.557789,0.0935148,0.0329702,0.166976
-1.98443,0.358651,0.287683,0.217205,0.601978,0.103194,0.110181,0.0096779
-2.04283,0.299013,0.400609,0.155328,0.620098,0.10124,0.041469,0.155387
-2.00519,0.247239,0.455836,0.175805,0.577881,0.193962,0.231419,0.143142
-2.00142,0.481462,0.47558,-0.0939408,0.488377,0.0466834,0.126695,0.0974802
-1.98418,0.152497,0.429023,0.152008,0.487559,0.115116,0.265617,0.200059
-1.89228,0.148307,0.506233,0.109687,0.516276,0.0300656,0.160023,0.0782665
-1.90524,0.188378,0.600537,0.253667,0.432348,0.175061,0.230126,0.103568
-1.94508,0.460564,0.364057,0.0223144,0.485702,0.114363,0.219602,0.135122
-1.99836,0.164064,0.42092,0.0638659,0.698103,0.141747,0.115511,0.105211
-2.14173,0.269426,0.515545,0.0242183,0.584707,-0.0120275,0.1131,0.199405
-2.24142,0.266923,0.523111,0.201527,0.688883,0.239964,0.278315,0.200512
-2.01289,0.42519,0.557181,0.068139,0.541634,0.127467,0.203132,0.147262
-1.92795,0.251066,0.521814,0.121211,0.556275,0.0820882,0.1567,0.103593
-2.04787,0.202547,0.465671,0.218964,0.514642,0.0958278,0.176885,-0.0219011
-1.95638,0.182887,0.511851,0.00376246,0.562492,0.0120545,0.0834191,0.00267271
-1.99071,0.275358,0.490893,0.0380993,0.616328,0.176193,0.158777,0.120808
-2.06352,0.216547,0.505614,0.108858,0.580669,0.109992,0.169662,0.172501
-2.20886,0.238642,0.564833,0.149997,0.520668,0.291381,0.0913333,0.103804
-1.87915,0.203997,0.666811,0.148495,0.46806,0.194853,0.0904686,0.0642739
-2.00856,0.198495,0.422984,0.0775645,0.573218,0.18806,0.113005,0.148267
-2.08457,0.298668,0.472864,0.239664,0.552101,0.0597294,0.20334,0.0981206
-1.90072,0.22615,0.438284,0.135033,0.553118,0.150152,0.234668,0.188816
-1.96015,0.299456,0.454642,0.158231,0.53002,0.114786,0.0820597,0.0486758
-2.01288,0.364321,0.497722,0.0608853,0.643313,0.0906672,0.182603,0.158233
-2.04035,0.292085,0.704765,0.080367,0.56887,0.157398,0.390593,0.233498
-2.10014,0.284159,0.583209,0.030742,0.612324,0.188173,0.175121,0.170209
-1.79898,0.262187,0.521762,0.236106,0.403556,0.192479,0.0155064,0.00128595
-2.03768,0.209407,0.516741,0.14403,0.616538,0.0810989,0.140934,0.150535
-2.01928,0.442094,0.431995,0.11961,0.566506,0.182724,0.104698,0.18467
-2.00904,0.331198,0.39188,0.0342185,0.628429,0.187483,0.0876884,0.172029
-2.05178,0.275025,0.497875,-0.115644,0.706728,0.219393,0.220371,0.224329
-2.11058,0.321406,0.443163,0.209024,0.546272,0.132001,0.294458,0.166642
-2.06844,0.399143,0.604351,0.164277,0.4768,0.114921,0.0687647,0.144261
-2.08664,0.200656,0.565135,0.046421,0.601563,0.151262,0.0565169,0.0298005
-1.97678,0.198104,0.446567,0.0661855,0.698587,0.201231,0.129439,0.0112735
-2.09378,0.261877,0.440921,0.0875742,0.755802,0.15348,0.200053,0.0792291
-2.10499,0.28683,0.566931,0.0226263,0.487245,0.147385,0.155514,0.166553
-2.06769,0.307994,0.480164,0.154306,0.482418,0.138222,0.0631246,0.112169
-2.08133,0.337736,0.430341,0.228947,0.56075,0.0200115,0.182628,0.0777156
-2.08669,0.290627,0.452685,0.162408,0.580486,0.14098,0.151352,-0.069863
-1.95302,0.287771,0.457415,0.188466,0.558742,0.223378,0.152067,0.0948677
-1.98316,0.194885,0.44405,0.135164,0.519693,0.134169,0.326839,0.179638
-2.10457,0.200385,0.521604,0.110505,0.56916,0.108484,0.184433,-0.0971091
-2.07473,0.273356,0.565976,0.0632608,0.588185,0.0387897,0.14339,0.078951
-1.98862,0.322328,0.302522,0.0870844,0.6152,0.238243,0.253184,0.179138
-2.11461,0.346415,0.430046,0.102187,0.589649,0.259113,0.285383,0.12547
-2.18191,0.214391,0.648945,0.0784982,0.543005,0.0837227,0.314867,0.110639
-2.05724,0.305546,0.524357,0.0546969,0.660038,0.0955206,0.181985,0.132737
-2.05788,0.265413,0.359905,0.021716,0.776013,0.128983,0.05357,0.112975
-2.08089,0.246963,0.521042,0.158777,0.597203,-0.0794099,0.0505813,0.0400777
-2.19997,0.292823,0.541595,0.156737,0.613952,-0.0984556,0.112839,0.0473179
-1.96109,0.204579,0.580446,0.149985,0.591384,0.0113621,0.108809,0.00447621
-1.96973,0.21099,0.455852,0.0958343,0.608815,0.041492,0.155039,0.05946
-2.03968,0.240599,0.451554,0.0463125,0.64377,0.25271,0.214662,0.0510739
-1.9204,0.376543,0.271721,0.201174,0.637051,0.0650357,0.0740757,0.0486311
-2.02427,0.314653,0.393937,0.263007,0.587205,0.0955507,0.144437,0.191047
-1.87399,0.104157,0.562739,0.171138,0.59539,0.138488,0.154887,-0.00877745
-2.02056,0.359814,0.462019,0.129136,0.530259,0.047348,0.153138,0.0335237
-1.95096,0.24686,0.34372,0.0857659,0.614361,-0.0749845,0.0810624,-0.0110647
-1.83003,0.254289,0.298686,0.207626,0.546201,-0.0559453,0.141086,-0.0629532
-2.0334,0.231625,0.491945,0.183479,0.485346,0.0767364,0.182101,0.106366
-2.02431,0.319881,0.47994,0.19085,0.593751,0.186694,0.159796,0.137047
-1.93841,0.289197,0.36119,0.203052,0.580142,0.24838,0.222652,0.127247
-2.10972,0.347028,0.479902,0.0889419,0.548619,0.293565,0.298586,0.168162
-2.12593,0.325433,0.573691,0.21637,0.507959,0.235365,0.239349,0.218219
-2.11175,0.439889,0.453807,0.198145,0.480656,0.106926,0.135915,0.123395
-1.95904,0.462691,0.460209,0.118751,0.46244,0.0552875,0.203859,0.163254
-2.05376,0.254278,0.343175,0.162029,0.72816,0.156445,0.130975,0.175465
-2.01658,0.221996,0.448171,0.155518,0.635191,0.123582,0.123721,0.0331549
-2.15092,0.368084,0.48905,0.0907227,0.532154,0.210768,0.119703,0.14314
-2.05577,0.30345,0.320829,0.230777,0.530257,0.0226063,0.0440396,0.0121164
-2.05805,0.302476,0.543083,0.233131,0.639838,-0.00640117,0.0618826,1.7474e-06
-2.04167,0.0896685,0.705881,0.0980748,0.381867,0.133428,0.190904,0.0743521
-1.97355,0.127589,0.481823,0.141463,0.564569,0.227355,0.078246,-0.0495515
-2.15076,0.350179,0.552619,0.22943,0.49911,0.110396,0.0448567,0.0114072
-1.93669,0.225263,0.590219,0.216702,0.429283,0.236737,0.252748,0.0642932
-1.97775,0.298211,0.516042,0.251964,0.372213,0.139312,0.109858,0.115378
-1.96717,0.230475,0.50049,0.161617,0.581681,0.188628,0.175642,0.0546194
-1.95176,0.247448,0.44306,0.156901,0.5388,0.0486342,0.107536,0.108006
-2.23122,0.119468,0.613473,0.130899,0.723501,0.131116,0.173032,0.00371262
-2.06395,0.380206,0.376298,0.00145096,0.649531,0.187186,0.135373,0.201523
-2.00338,0.216715,0.5777,0.0983033,0.527388,0.00323468,0.0734239,0.044207
-1.93404,0.262789,0.388458,0.162907,0.677733,0.0462631,0.129857,0.0607932
-2.05135,0.273686,0.480769,0.266666,0.564667,0.296315,0.146285,0.216615
-2.09051,0.267253,0.530659,0.257412,0.490473,0.142578,0.257122,0.0112377
-2.09057,0.255357,0.454984,0.258048,0.57589,0.0811108,0.11776,0.0357767
-2.04336,0.371939,0.393647,0.0472114,0.608661,0.118056,0.10128,0.0380222
-1.89557,0.289817,0.433714,0.227046,0.511389,0.113001,0.0879692,0.0577546
-2.22116,0.305104,0.516893,0.149276,0.6147,0.0653859,0.164836,0.147084
-2.01326,0.169201,0.521332,0.251068,0.597557,0.0638704,-0.0215648,0.0230786
-1.96015,0.308791,0.22549,0.21159,0.660155,0.0603795,0.0362403,-0.0722585
-2.17907,0.361945,0.162601,0.360912,0.654008,0.141353,0.0876216,0.104799
-1.92606,0.381164,0.319534,0.192984,0.56463,0.10172,0.063823,0.0929347
-1.89557,0.238447,0.381893,0.186441,0.493429,0.338053,0.310016,0.132028
-1.91963,0.305084,0.317847,0.180319,0.539366,0.0859889,0.17454,0.0767321
-2.00989,0.335491,0.473116,0.109024,0.571741,0.0557907,0.0761139,0.157152
-2.06808,0.285629,0.611046,0.0846263,0.49692,0.221128,0.02198,-0.103377
-2.14432,0.196141,0.521082,0.28733,0.653433,0.170928,0.0131772,-0.0293106
-2.06686,0.210856,0.587441,0.113581,0.560854,0.193466,0.0364901,-0.0304968
-2.21442,0.147408,0.6076,0.254924,0.633195,0.148784,0.0957747,0.243748
-1.96346,0.379489,0.447858,0.0429537,0.640002,0.171944,0.209665,0.194045
-1.95417,0.318576,0.443662,0.151984,0.581672,0.136926,0.0992917,0.111869
-1.91001,0.147229,0.546179,0.125373,0.503094,0.00513848,0.112675,-0.121812
-2.13971,0.162339,0.596242,0.254419,0.526575,0.0682574,0.159761,0.126755
-2.12054,0.31489,0.588177,0.166942,0.414753,0.106012,0.154379,0.113757
-2.0279,0.344232,0.472822,0.0868258,0.485553,0.0685607,0.142649,0.125276
-1.91673,0.178177,0.426645,0.151191,0.560296,0.133794,0.236518,0.0767079
-1.99123,0.171455,0.546173,0.215515,0.611336,0.199587,0.256305,0.0294033
-2.09577,0.307861,0.442634,0.182347,0.573462,0.190822,0.266368,0.0582929
-2.04237,0.272007,0.518389,0.189552,0.48671,0.0998719,0.137632,0.251822
-1.93324,0.272521,0.522575,0.124422,0.385682,0.184159,0.202226,0.146435
-2.01537,0.382399,0.464244,0.116269,0.497243,0.220477,0.316402,0.23294
-2.16994,0.138822,0.505235,0.210862,0.570704,0.181468,0.194067,0.10184
-1.96434,0.0981212,0.365183,0.11266,0.745958,0.174218,0.0642372,0.213008
-1.95293,0.270192,0.506968,0.244256,0.61629,0.175363,0.161007,0.0974735
-1.9037,0.322964,0.409478,0.124831,0.518679,0.222615,0.379629,0.217471
-1.95741,0.365903,0.32243,0.146104,0.624387,0.138166,0.136639,0.302904
-2.00666,0.425474,0.379397,0.0393461,0.608028,0.166305,0.251415,0.212641
-2.00666,0.33256,0.414167,0.0970426,0.601971,0.0549456,0.18929,0.0674952
-1.88216,0.387785,0.297205,0.169439,0.542912,0.155215,0.117966,0.00855969
-2.03664,0.357066,0.491783,0.11554,0.536535,0.153938,0.233939,0.152157
-2.02201,0.488006,0.296109,0.118902,0.574385,0.103043,0.0802389,0.0507327
-1.92809,0.336403,0.254749,0.134492,0.530053,0.19842,0.240845,0.152552
-2.10062,0.279431,0.447984,-0.00606631,0.55197,0.101267,0.206609,0.141345
-2.03183,0.386856,0.448667,0.175116,0.469786,0.0570616,0.222678,0.0571267
-1.96731,0.4459,0.411828,0.101678,0.449775,0.199901,0.183504,0.117765
-2.11851,0.400066,0.345268,0.151642,0.556506,0.0801444,0.184969,0.0498945
-2.12542,0.304972,0.5085,0.260263,0.499109,0.085186,0.0569387,-0.0188955
-2.1,0.341857,0.407848,0.146105,0.505266,-0.125007,-0.0595684,-0.016588
-2.02951,0.124028,0.55198,0.294634,0.551066,0.065596,-0.0276028,-0.179454
-1.99359,0.0998391,0.539625,0.170387,0.490729,-0.000969731,0.0380296,-0.041289
-1.91029,0.317806,0.504805,0.137284,0.552208,-0.0153334,0.134988,0.039137
-2.04113,0.314875,0.592019,0.222109,0.487349,0.111879,0.00492476,-0.0619583
-2.01386,0.452598,0.55696,0.162494,0.396697,-0.0469058,0.143558,0.100252
-1.95066,0.222571,0.500659,0.0743885,0.536454,0.19223,0.252095,0.231739
-2.02525,0.332718,0.449277,0.209225,0.560191,0.183177,0.282149,0.124457
