"beta0","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","zbeta0","zbeta[1]","zbeta[2]","zbeta[3]","zbeta[4]","zbeta[5]","zbeta[6]","zbeta[7]","guess"
-4.59142,0.0145817,0.000806281,8.61584e-05,0.000475658,-0.346235,0.0344554,-0.198987,-1.87648,0.30903,0.423725,0.0617415,0.611425,-0.104049,0.01433,-0.0958185,0.0106225
-3.98601,0.00725676,0.000858985,5.58098e-05,0.000427823,0.197828,-0.0443169,-0.0396112,-2.00933,0.153793,0.451422,0.0399936,0.549937,0.0594502,-0.0184314,-0.019074,0.0039213
-4.27596,0.00799624,0.000865991,0.000132489,0.000521856,0.0700861,0.177061,-0.00660063,-1.99818,0.169464,0.455104,0.0949419,0.67081,0.0210619,0.0736398,-0.00317841,0.0178302
-4.94674,0.0136839,0.000838127,9.57894e-05,0.000519466,-0.122537,0.208794,0.122782,-2.06841,0.290003,0.440461,0.0686432,0.667738,-0.0368243,0.0868376,0.0591231,0.0277156
-4.34719,0.00833305,0.000802775,0.000197935,0.000511657,0.38709,-0.10038,0.0812809,-2.0407,0.176602,0.421882,0.141841,0.6577,0.116326,-0.0417482,0.0391393,0.0132568
-4.58747,0.0116212,0.000837401,5.00426e-05,0.000547063,0.206418,0.0293354,-0.0312748,-2.00006,0.246288,0.440079,0.0358608,0.703211,0.0620317,0.0122006,-0.0150598,0.00562777
-4.07859,0.00802875,0.00067841,0.000160165,0.000518817,0.330593,0.013379,0.0100979,-1.92734,0.170153,0.356525,0.114775,0.666904,0.0993479,0.00556431,0.00486243,0.0045166
-4.48222,0.00983448,0.000826424,5.57739e-05,0.000524138,0.37236,0.196104,0.0597148,-2.03234,0.208422,0.434311,0.0399678,0.673743,0.1119,0.0815598,0.0287545,0.0147818
-4.45327,0.0102799,0.000831433,5.127e-05,0.00052532,0.00643591,0.115314,0.188184,-1.96104,0.217863,0.436943,0.0367403,0.675263,0.00193408,0.0479591,0.0906164,0.0067376
-4.29862,0.0102836,0.000876673,0.000202191,0.000433029,0.207528,0.030044,-0.160759,-1.88844,0.21794,0.460718,0.144891,0.556629,0.062365,0.0124953,-0.0774103,0.00373404
-4.8698,0.0145655,0.00079993,8.26037e-05,0.000450356,0.0529582,0.17931,-0.0349321,-2.06117,0.308687,0.420387,0.0591942,0.578902,0.0159147,0.0745753,-0.0168209,0.00147775
-3.98458,0.00886621,0.000841748,4.59227e-05,0.000428276,-0.182447,0.0021876,-0.183822,-1.93381,0.187902,0.442364,0.0329084,0.550519,-0.0548279,0.000909826,-0.088516,0.00103367
-4.28051,0.00839738,0.000958528,0.000218116,0.000444506,0.138821,0.211564,0.0203928,-1.88754,0.177966,0.503735,0.156303,0.571382,0.0417178,0.0879894,0.00981975,0.00616651
-4.00432,0.00873225,0.000730962,5.82243e-05,0.000456946,0.0234357,0.0791556,-0.0397386,-1.92008,0.185063,0.384143,0.0417238,0.587372,0.00704276,0.0329209,-0.0191354,0.00654628
-4.28909,0.010518,0.000791726,-1.10696e-05,0.000518413,-0.057838,0.150794,0.0731442,-1.89758,0.222908,0.416076,-0.00793257,0.666384,-0.0173812,0.0627153,0.0352211,0.000832015
-3.93688,0.00669025,0.000936096,5.62379e-05,0.000540846,-0.0346876,-0.180418,-0.208308,-1.94737,0.141787,0.491946,0.0403003,0.69522,-0.0104241,-0.0750361,-0.100307,0.00419892
-3.87218,0.00835763,0.000712532,0.000166876,0.000504335,0.0775548,-0.0957183,-0.227363,-1.80699,0.177123,0.374457,0.119584,0.648288,0.0233063,-0.0398093,-0.109482,6.05526e-05
-4.17082,0.00959218,0.000700149,0.000148891,0.000472943,-0.208812,-0.0197683,0.00288662,-1.95873,0.203287,0.367949,0.106696,0.607936,-0.0627509,-0.00822164,0.00139,0.0130383
-3.64878,0.00521222,0.000670676,0.000102772,0.000557347,-0.00940727,-0.0998679,0.0275171,-1.8618,0.110463,0.35246,0.0736471,0.71643,-0.00282702,-0.0415351,0.0132503,0.0107389
-4.29485,0.00721288,0.000938142,0.000133199,0.000515741,0.339198,-0.0747219,0.123884,-2.03478,0.152863,0.493022,0.0954509,0.66295,0.101934,-0.0310769,0.0596538,0.0130521
-5.03925,0.0136016,0.000924514,0.000130145,0.00046978,0.471705,0.223875,0.231898,-2.03188,0.28826,0.48586,0.0932624,0.603869,0.141754,0.0931099,0.111666,0.00873438
-4.17167,0.010408,0.000722386,4.55409e-05,0.000453565,0.250561,0.0176974,-0.0751842,-1.92939,0.220577,0.379636,0.0326348,0.583027,0.0752971,0.00736037,-0.0362035,0.0111239
-4.22943,0.0082478,0.000798977,9.82134e-05,0.000526146,0.028462,-0.123445,-0.0218457,-2.07346,0.174796,0.419886,0.0703802,0.676325,0.00855323,-0.0513409,-0.0105194,0.00292059
-3.82367,0.00420764,0.00109124,6.52858e-05,0.000477059,0.0636884,-0.0982044,-0.272768,-2.04701,0.0891725,0.573478,0.0467841,0.613226,0.0191393,-0.0408433,-0.131346,0.00346669
-3.91387,0.00633925,0.00088323,0.000153178,0.000500926,0.108327,0.0254425,-0.338632,-1.96225,0.134348,0.464164,0.109768,0.643906,0.0325538,0.0105815,-0.163062,0.0103414
-3.8169,0.00334534,0.000865984,0.000217754,0.000442733,0.075613,0.22836,0.16755,-1.99466,0.0708979,0.4551,0.156044,0.569102,0.0227228,0.0949752,0.0806805,0.0022815
-4.225,0.0105918,0.000715346,0.000144994,0.000488719,0.00806494,-0.0193997,-0.192091,-1.92686,0.224471,0.375936,0.103903,0.628215,0.00242363,-0.00806833,-0.0924975,0.0158505
-3.87664,0.00986618,0.000629277,5.01228e-05,0.000457642,0.0399513,-0.118725,-0.162346,-1.83957,0.209094,0.330704,0.0359182,0.588267,0.0120059,-0.0493777,-0.0781743,0.00814288
-4.07709,0.0108894,0.000650987,9.19668e-05,0.000431222,0.148316,-0.00380804,0.0721188,-1.78867,0.230779,0.342113,0.0659039,0.554306,0.0445711,-0.00158377,0.0347274,0.00998639
-4.2318,0.0109584,0.000548172,0.000187979,0.000477773,-0.161573,0.00534836,-0.237635,-2.02967,0.232241,0.288081,0.134707,0.614144,-0.0485551,0.00222439,-0.114429,0.00424846
-3.77724,0.006801,0.000626769,0.000133597,0.000560603,0.0561255,-0.074197,-0.195661,-1.89318,0.144134,0.329386,0.0957359,0.720616,0.0168665,-0.0308586,-0.0942167,0.00370471
-4.09297,0.0100407,0.00063116,0.000101906,0.000473176,0.100623,0.0359138,-0.0983146,-1.91415,0.212793,0.331694,0.0730262,0.608236,0.0302387,0.0149366,-0.0473415,0.00258506
-4.5985,0.0114221,0.000832111,7.97114e-05,0.000531336,0.181286,0.337575,0.00232455,-1.95389,0.24207,0.437299,0.0571216,0.682996,0.0544791,0.140397,0.00111934,0.00126755
-3.83459,0.00606779,0.000654192,9.66573e-05,0.000503859,0.356938,-0.0899812,0.0796461,-1.97561,0.128595,0.343797,0.0692651,0.647676,0.107265,-0.0374232,0.038352,0.00358857
-4.10279,0.00614486,0.000901637,0.000187822,0.000550593,0.245822,-0.0779251,0.0695377,-1.93465,0.130228,0.473837,0.134594,0.707749,0.0738731,-0.0324091,0.0334845,0.0138363
-4.02245,0.00794681,0.000811316,0.000103097,0.000521221,-0.267657,-0.0748988,-0.171977,-1.9654,0.168417,0.426371,0.0738795,0.669993,-0.0804347,-0.0311505,-0.082812,0.0101542
-4.07929,0.00870903,0.000765352,5.91676e-05,0.000457573,0.239473,0.137103,-0.130451,-1.96835,0.184571,0.402216,0.0423998,0.588178,0.0719652,0.0570211,-0.062816,0.0109204
-4.41592,0.0124234,0.000754108,0.000147921,0.000443328,-0.141733,0.0547153,-0.305987,-1.97937,0.263289,0.396307,0.106001,0.569867,-0.0425928,0.0227561,-0.147342,0.0293334
-4.28847,0.00984645,0.000963245,0.000144002,0.000424352,-0.415965,-0.110962,-0.235315,-2.03516,0.208676,0.506214,0.103193,0.545475,-0.125004,-0.0461492,-0.113311,0.0262224
-3.95397,0.00686365,0.000925837,6.38068e-06,0.000493371,-0.383611,-0.336026,-0.207026,-2.11545,0.145461,0.486555,0.00457243,0.634195,-0.115281,-0.139754,-0.0996894,0.0219351
-3.91398,0.00738315,0.000908978,2.62718e-06,0.000505332,0.0781483,-0.213676,-0.0986103,-1.9079,0.156471,0.477695,0.00188265,0.649569,0.0234847,-0.088868,-0.0474838,0.00579185
-4.17049,0.00947747,0.000843274,4.38105e-05,0.000467773,0.183609,0.0581238,-0.0856834,-1.92327,0.200856,0.443166,0.0313948,0.60129,0.0551772,0.0241737,-0.0412592,0.00257196
-4.59252,0.0139953,0.000690366,0.000134979,0.000481368,-0.187327,0.0680045,-0.0396896,-1.90451,0.296602,0.362808,0.0967263,0.618766,-0.0562946,0.0282831,-0.0191118,0.0171377
-4.81676,0.0148963,0.000734643,0.000107975,0.000498705,0.105093,0.0468018,-0.291096,-2.06483,0.315697,0.386077,0.0773753,0.641051,0.0315821,0.0194649,-0.140172,0.0217171
-4.66773,0.012488,0.000803934,5.61445e-05,0.000492542,-0.0853397,0.0318022,0.268306,-1.98928,0.264659,0.422491,0.0402334,0.633129,-0.0256458,0.0132266,0.129198,0.019867
-4.59967,0.00939977,0.000673116,0.000203658,0.000556807,0.248183,0.226658,0.273867,-2.09109,0.199209,0.353743,0.145942,0.715738,0.0745825,0.0942672,0.131875,0.0087042
-4.65276,0.01313,0.000643977,0.000109168,0.000574273,-0.0780107,0.0817331,-0.212307,-2.05594,0.278263,0.338429,0.0782305,0.738188,-0.0234434,0.0339928,-0.102233,0.0176485
-4.48337,0.0127161,0.000636141,0.000171992,0.000576906,-0.0872199,-0.165591,-0.158777,-1.92279,0.269493,0.334311,0.12325,0.741573,-0.0262109,-0.0688693,-0.076456,0.0140168
-4.07905,0.00853295,0.000954998,-2.50118e-05,0.000443854,0.0267324,0.172727,-0.225537,-1.97041,0.180839,0.50188,-0.0179236,0.570543,0.00803347,0.0718371,-0.108603,0.00226129
-3.88139,0.00772526,0.000666419,0.000181377,0.000462581,0.0601457,-0.0297555,0.00430232,-1.85969,0.163721,0.350223,0.129976,0.594616,0.0180746,-0.0123753,0.0020717,0.0039195
-4.64634,0.0126275,0.000716215,0.000170211,0.000492816,-0.0174923,0.179105,0.0896509,-1.95799,0.267615,0.376392,0.121974,0.633481,-0.00525669,0.0744897,0.0431696,0.00451154
-4.69917,0.0145056,0.000703999,0.000143289,0.000484065,-0.0152462,0.0260446,-0.164315,-1.97339,0.307417,0.369973,0.102682,0.622232,-0.00458169,0.010832,-0.0791226,0.015972
-4.82378,0.0150986,0.000734305,0.000116339,0.000460792,0.10264,0.0702595,-0.0277612,-1.98631,0.319985,0.385899,0.0833692,0.592317,0.0308449,0.0292209,-0.0133679,0.0191631
-4.01765,0.00730868,0.000829839,0.000173862,0.000525319,-0.169074,-0.0572586,-0.161571,-1.93927,0.154893,0.436105,0.124591,0.675262,-0.050809,-0.0238139,-0.0778015,0.00261179
-4.21939,0.00969529,0.000794803,0.000168066,0.000452434,0.100001,-0.0555721,-0.263934,-2.00701,0.205472,0.417693,0.120437,0.581573,0.0300517,-0.0231125,-0.127092,0.0101302
-3.91945,0.00880545,0.000811889,0.000124959,0.000431072,-0.253475,-0.124959,-0.0801418,-1.83201,0.186614,0.426672,0.0895459,0.554113,-0.0761728,-0.0519704,-0.0385907,0.00940713
-4.35154,0.00947423,0.000886752,0.000156873,0.000446167,0.0376744,-0.105882,-0.0494939,-2.04772,0.200788,0.466015,0.112416,0.573517,0.0113217,-0.0440363,-0.0238328,0.0167355
-3.53132,0.00460739,0.000770714,0.000145871,0.000429996,0.0971345,-0.0664922,-0.179696,-1.90475,0.0976445,0.405033,0.104532,0.552731,0.0291903,-0.0276542,-0.0865292,4.82567e-05
-3.50123,0.0042209,0.000726958,5.85643e-05,0.000492249,0.136457,-0.00885617,-0.119861,-1.90657,0.0894536,0.382038,0.0419675,0.632753,0.0410073,-0.00368329,-0.0577167,0.00138933
-3.62755,0.00485203,0.00070538,0.00019576,0.000483355,0.0151085,0.0220172,-0.0413778,-1.86284,0.102829,0.370699,0.140283,0.62132,0.00454033,0.00915695,-0.0199247,0.000227821
-4.43681,0.0113958,0.000877645,8.26234e-05,0.000433685,-0.130388,0.1518,-0.0646058,-1.96751,0.241511,0.461229,0.0592083,0.557472,-0.0391834,0.0631339,-0.0311097,7.11022e-05
-4.74119,0.014084,0.000737372,4.54777e-05,0.00046938,0.0698931,0.102547,0.178157,-1.97679,0.298483,0.387511,0.0325895,0.603356,0.0210039,0.0426492,0.085788,0.00801683
-3.918,0.00466291,0.000969316,8.03492e-05,0.000481048,0.13755,-0.0180409,0.0853267,-2.01311,0.098821,0.509405,0.0575787,0.618354,0.0413359,-0.00750323,0.0410874,0.000645489
-4.22741,0.00761873,0.000809726,0.000228148,0.000521548,0.175721,0.0291606,-0.0477961,-1.99822,0.161464,0.425535,0.163492,0.670413,0.0528068,0.0121279,-0.0230153,0.0148726
-4.01453,0.00783806,0.000865881,0.000233907,0.000419694,-0.0537491,0.210341,-0.102805,-1.83429,0.166112,0.455047,0.167619,0.539487,-0.0161524,0.0874808,-0.0495038,0.00735947
-3.88761,0.00560434,0.000876873,0.000138046,0.000420312,0.585894,0.11643,0.0104361,-1.92952,0.118773,0.460823,0.0989247,0.540282,0.17607,0.0484231,0.00502531,0.00178886
-4.0725,0.00670582,0.000829836,0.00010216,0.000486153,0.130717,-0.00977542,0.127278,-2.01345,0.142117,0.436103,0.0732085,0.624916,0.0392823,-0.0040656,0.0612884,0.00611826
-4.27406,0.00773376,0.000815517,0.000250281,0.000517204,0.246152,-0.0280754,-0.0471821,-2.02146,0.163902,0.428579,0.179353,0.66483,0.0739724,-0.0116766,-0.0227196,0.0137216
-4.12468,0.00880465,0.000778145,0.000130223,0.000484321,-0.112173,0.0270362,0.00190881,-1.91986,0.186597,0.408938,0.0933182,0.622561,-0.0337097,0.0112444,0.000919151,0.0110423
-4.45521,0.010687,0.00080206,0.000217785,0.0004424,0.0544909,0.0522976,0.0242678,-1.97846,0.22649,0.421507,0.156066,0.568674,0.0163753,0.0217506,0.0116857,0.0145005
-4.44458,0.0101508,0.000925153,0.000221931,0.000416177,0.135176,-0.051659,-0.123984,-2.02804,0.215125,0.486196,0.159037,0.534967,0.0406224,-0.021485,-0.0597023,0.0212102
-4.58989,0.0145997,0.000603708,5.40661e-05,0.000542059,-0.0778224,-0.00555881,-0.159975,-1.9438,0.309411,0.317267,0.038744,0.69678,-0.0233868,-0.00231191,-0.0770329,0.007796
-4.44674,0.00866668,0.000972243,0.000203262,0.000535474,0.380064,-0.0242885,0.0939643,-1.92196,0.183673,0.510943,0.145658,0.688315,0.114215,-0.0101016,0.0452467,0.00632426
-4.33963,0.010955,0.000901624,-2.64903e-05,0.000439379,0.344676,-0.064223,0.0780387,-1.92502,0.23217,0.47383,-0.0189831,0.564791,0.10358,-0.0267104,0.037578,0.00146512
-4.63798,0.010491,0.000908125,0.00011008,0.000464085,0.472518,0.256916,0.241419,-1.99201,0.222335,0.477247,0.0788839,0.596549,0.141998,0.106852,0.116251,0.0126032
-4.18612,0.00867409,0.000756862,9.00622e-05,0.000542795,0.260711,0.239353,-0.103997,-1.92914,0.18383,0.397754,0.064539,0.697726,0.0783474,0.0995471,-0.0500777,0.0174088
-4.38518,0.00921795,0.000675074,0.00025316,0.000531608,0.263282,0.0450487,-0.0531834,-2.04428,0.195356,0.354772,0.181416,0.683346,0.07912,0.0187358,-0.0256094,0.0151576
-4.52067,0.0099762,0.000765572,0.000155017,0.000537019,0.417138,0.0674455,-0.0809096,-2.08668,0.211426,0.402331,0.111086,0.690301,0.125356,0.0280506,-0.0389604,0.0201987
-4.38991,0.00954121,0.000841707,0.000113263,0.000506531,0.141247,0.0519131,-0.267005,-2.11104,0.202207,0.442342,0.081165,0.651111,0.0424468,0.0215907,-0.128571,0.0231407
-4.47629,0.00928173,0.00092632,-4.24073e-05,0.000510452,0.25456,0.151529,0.238352,-2.05735,0.196708,0.486809,-0.0303893,0.656151,0.076499,0.0630209,0.114774,0.0121349
-4.02043,0.00777989,0.000867777,-6.42762e-06,0.00044952,0.190835,0.352008,0.0926756,-1.86709,0.164879,0.456043,-0.00460606,0.577827,0.0573488,0.1464,0.0446261,0.00858592
-4.0969,0.0089251,0.000806245,0.000205928,0.000377608,-0.154661,-0.0428578,-0.190571,-2.0126,0.18915,0.423706,0.147569,0.485389,-0.046478,-0.0178246,-0.091766,0.00541119
-4.46067,0.0118624,0.000684479,0.000195004,0.000474666,-0.172996,0.274907,-0.0571606,-1.92956,0.2514,0.359714,0.139741,0.610151,-0.0519877,0.114334,-0.0275246,0.00224304
-4.01503,0.00768636,0.000817205,9.86846e-05,0.000530729,0.190809,-0.0481336,-0.0517644,-1.87832,0.162897,0.429466,0.0707179,0.682215,0.057341,-0.0200188,-0.0249262,0.000177696
-4.1009,0.00918409,0.000478111,9.05301e-05,0.000554849,0.26797,0.0605403,-0.0335343,-2.00094,0.194639,0.251262,0.0648743,0.71322,0.0805288,0.0251787,-0.0161478,0.0118716
-4.59415,0.0111355,0.000850099,0.00018689,0.000527848,-0.301797,0.146343,-0.0818586,-2.0107,0.235994,0.446753,0.133926,0.678512,-0.0906944,0.0608641,-0.0394174,0.0192126
-4.60741,0.0108825,0.000699023,0.000238633,0.000493084,0.228943,0.214441,0.133407,-2.02055,0.230632,0.367358,0.171006,0.633825,0.0688008,0.089186,0.0642395,0.0109877
-3.94413,0.00631978,0.000582295,3.07541e-05,0.000565009,0.0246928,0.235839,0.291454,-1.97632,0.133935,0.306014,0.0220385,0.72628,0.00742054,0.0980854,0.140344,0.000431166
-4.32435,0.00983759,0.000740329,-2.41644e-05,0.000585899,0.348103,-0.149944,-0.125862,-2.07714,0.208488,0.389065,-0.0173163,0.753133,0.10461,-0.0623616,-0.0606066,0.00150271
-4.58193,0.0127656,0.000781094,-1.26241e-05,0.000507264,0.191481,0.0616575,-0.0406024,-2.00481,0.270541,0.410488,-0.00904649,0.652052,0.0575427,0.0256434,-0.0195513,0.00919268
-3.984,0.00583216,0.00093616,7.96881e-05,0.000558003,0.0939778,0.018907,-0.200214,-1.98975,0.123601,0.49198,0.0571049,0.717274,0.0282417,0.00786341,-0.096409,0.0040997
-4.49188,0.0103931,0.000909046,0.000276549,0.000457805,0.141137,-0.0949584,-0.00484378,-1.93716,0.220261,0.477731,0.198176,0.588477,0.0424137,-0.0394932,-0.00233243,0.0037689
-4.17768,0.010923,0.000650961,9.84205e-05,0.000477666,0.0268602,0.150173,-0.130412,-1.87908,0.231492,0.3421,0.0705286,0.614007,0.00807187,0.062457,-0.0627974,0.00293369
-4.40922,0.0123285,0.000550223,0.000151272,0.00043857,0.0427332,0.346673,0.105223,-1.90838,0.261278,0.289159,0.108402,0.563752,0.012842,0.144182,0.0506681,0.00331166
-3.87188,0.00599901,0.000961552,-8.97523e-05,0.000452876,0.278377,0.163478,-0.0214061,-1.97484,0.127137,0.505324,-0.0643169,0.582141,0.0836562,0.0679908,-0.0103077,0.00403904
-4.4811,0.00911608,0.00095078,0.000154592,0.000463215,-0.0185678,0.319267,0.181828,-1.97593,0.193197,0.499663,0.110781,0.595431,-0.0055799,0.132783,0.0875556,0.00495108
-4.69958,0.0122254,0.000841238,0.000111932,0.000430491,0.155427,0.247805,0.157131,-2.01833,0.259093,0.442096,0.080211,0.553366,0.046708,0.103062,0.0756632,0.0078741
-4.07942,0.00989162,0.000634842,0.000168523,0.000456584,-0.046012,0.0650949,-0.094527,-1.88898,0.209633,0.333629,0.120764,0.586908,-0.0138273,0.027073,-0.0455176,0.00859958
-4.32531,0.00938944,0.000898015,9.09482e-05,0.000514317,0.050651,-0.0269503,-0.0233688,-1.96559,0.19899,0.471934,0.0651739,0.661119,0.0152214,-0.0112086,-0.0112528,0.00880944
-4.2702,0.0104993,0.000584196,0.000117359,0.000541581,-0.152554,0.127697,-0.0592767,-1.97764,0.222512,0.307013,0.0841003,0.696164,-0.0458448,0.0531094,-0.0285435,0.0117003
-4.1998,0.00771895,0.000927477,0.000146475,0.000470239,0.203277,0.271644,-0.111617,-1.95779,0.163588,0.487417,0.104965,0.60446,0.0610876,0.112977,-0.0537472,0.00684605
-4.43131,0.0103735,0.000934548,3.05049e-05,0.000511289,0.225824,0.104161,0.0643906,-1.9077,0.219846,0.491133,0.02186,0.657227,0.0678634,0.0433206,0.0310061,0.000271786
-3.9532,0.00719093,0.000804594,0.000181245,0.000436802,-0.103171,0.116263,-0.136624,-1.94895,0.152398,0.422838,0.129881,0.561479,-0.0310045,0.0483538,-0.0657885,0.0097137
-4.28134,0.0103504,0.000838188,0.000145381,0.000485345,-0.101847,0.0336041,-0.252297,-1.94021,0.219357,0.440493,0.104181,0.623877,-0.0306065,0.013976,-0.121489,0.00553973
-4.29655,0.0116148,0.000750987,0.000168415,0.000426948,-0.287547,0.0658492,-0.0024934,-1.85476,0.246152,0.394666,0.120687,0.548812,-0.0864119,0.0273867,-0.00120065,0.00202494
-3.87798,0.00762962,0.000832172,7.86449e-05,0.000447161,-0.434362,-0.106272,-0.128055,-1.9511,0.161695,0.437332,0.0563573,0.574794,-0.130532,-0.0441984,-0.0616626,0.00595408
-4.33577,0.0113156,0.000889995,0.000128865,0.000409614,-0.103079,-0.0519372,-0.20435,-1.95168,0.239811,0.467719,0.0923452,0.526531,-0.0309766,-0.0216007,-0.0984009,0.0311469
-4.57544,0.012656,0.000654887,8.49787e-06,0.00052643,-0.0306483,0.0851957,0.0560808,-2.05034,0.268219,0.344163,0.00608962,0.676689,-0.00921025,0.0354329,0.0270046,0.0167475
-4.02881,0.00657073,0.000871857,0.00013595,0.000514053,0.322701,-0.128524,-0.163485,-2.00758,0.139254,0.458187,0.0974228,0.66078,0.0969763,-0.053453,-0.0787229,0.0159873
-4.62359,0.0112752,0.000812752,7.31781e-05,0.000477407,0.189822,0.456534,0.167098,-1.98942,0.238955,0.427125,0.0524398,0.613674,0.0570442,0.189873,0.080463,0.0034755
-4.22891,0.00738172,0.000957406,6.77968e-05,0.000425767,0.439059,0.357001,0.271738,-1.92943,0.156441,0.503146,0.0485835,0.547295,0.131944,0.148477,0.13085,0.00357353
-4.38079,0.010493,0.000897612,8.45568e-05,0.000384155,0.0552727,0.0918567,0.125576,-1.97511,0.222378,0.471722,0.0605938,0.493804,0.0166103,0.0382032,0.0604688,0.00648291
-4.49729,0.011617,0.000711538,0.0001637,0.000447983,0.198741,0.161626,0.13537,-1.9444,0.246199,0.373935,0.117308,0.575851,0.0597244,0.0672202,0.0651846,0.00807748
-3.8265,0.00536198,0.000649262,0.000178581,0.000571168,0.00797188,-0.0999589,-0.101336,-2.01106,0.113637,0.341207,0.127972,0.734197,0.00239567,-0.0415729,-0.0487962,0.00529308
-4.93594,0.014269,0.000870733,0.000180268,0.000465737,0.191241,0.081939,0.0619991,-1.9853,0.302404,0.457597,0.129181,0.598673,0.0574707,0.0340785,0.0298545,0.0124065
-4.47696,0.0116118,0.000705647,8.12297e-05,0.000503025,0.189096,-0.0729775,0.120109,-1.98751,0.246088,0.370839,0.0582096,0.646604,0.0568261,-0.0303514,0.057836,0.0105053
-4.28276,0.0111027,0.000636884,-6.53194e-05,0.000548865,-0.0761025,0.130208,0.163036,-1.92626,0.235299,0.334701,-0.0468082,0.705528,-0.0228699,0.0541534,0.078507,0.00446158
-4.13525,0.00651816,0.000923882,0.000181593,0.000478166,0.0141028,0.147762,-0.0726413,-2.02272,0.138139,0.485528,0.13013,0.614649,0.00423809,0.0614541,-0.034979,0.0118195
-4.44046,0.00988425,0.000925723,0.000101242,0.000442117,-0.0810043,-0.0121453,0.0880259,-2.05035,0.209477,0.486495,0.0725505,0.56831,-0.024343,-0.00505122,0.0423871,0.0042442
-4.27351,0.0103878,0.000940395,8.63005e-05,0.000411798,0.0942396,-0.140083,-0.249221,-1.99782,0.22015,0.494206,0.0618434,0.529337,0.0283204,-0.0582606,-0.120007,0.000949908
