"","runtime","release_year","actor_name_score","studio_score","crew_member_score","target","season_autumn","season_spring","season_summer","season_winter"
"77",118,2009,1294.46778125104,1778.65802627009,1937.31786397206,0,0,0,1,0
"80",124,2010,2961.03824185524,74.1760466947321,3113.30238869842,1,0,1,0,0
"87",93,2010,1840.79476213945,165.976139189189,196.936026256829,0,0,1,0,0
"91",100,2004,433.822870426138,118.738692817603,6519.64146519615,1,0,0,0,1
"93",98,2010,829.901936777722,242.757305242882,2202.11738404906,1,0,1,0,0
"94",109,2003,428.928607075533,3030.80323072779,5753.64886882547,0,0,0,1,0
"97",148,2010,1470.98863092928,2062.55198090765,2506.10558162783,1,0,0,1,0
"99",106,2001,955.698813009678,1599.39147719719,4525.94665135141,0,0,0,1,0
"100",166,2008,1852.62264837239,3310.84130726393,6270.50136316347,1,0,0,0,1
"103",109,2010,981.984700696201,839.393473471435,235.285371871261,0,0,0,1,0
"104",99,2006,782.694636927973,1918.00980483919,2175.61793402348,0,0,1,0,0
"106",93,2007,2178.86263370519,619.839567795276,841.584236698716,0,0,1,0,0
"109",113,2010,697.094481597698,671.421053602972,1652.6249055429,1,0,0,1,0
"110",183,2001,3899.03147860863,823.980494076167,7457.0066255033,1,0,1,0,0
"111",144,2007,1817.89052242922,2445.04473569901,3915.56551645115,0,0,0,1,0
"112",175,2004,2374.32070929453,2095.63616345712,7470.38944198859,0,0,0,0,1
"113",138,2007,3124.89994034685,1837.16335834771,875.728829078474,1,0,0,1,0
"114",157,2005,2617.25955996527,1841.70717655001,1536.21677441143,1,0,0,0,1
"115",92,2008,962.609056020755,1649.63242589594,2316.50151271155,1,0,0,1,0
"116",101,2007,584.690363981315,2422.47726316377,2279.129098857,1,0,0,0,1
"117",115,2005,1198.44050537596,2330.26467877987,4904.4595284909,1,0,0,1,0
"118",111,2007,1024.0584457873,651.592235718251,1908.00750392163,1,0,0,1,0
"119",140,2005,3538.24103806053,2269.78244080379,6447.13154655449,1,0,0,1,0
"120",89,2008,1510.44528014929,165.976139189189,398.415417188683,1,1,0,0,0
"121",105,2009,2334.87736048911,1699.19187988573,1357.38320098633,0,0,1,0,0
"122",107,2009,1550.27310056007,1986.14278913504,445.24044630546,0,0,1,0,0
"123",129,2003,1270.16348906265,2428.65756303001,1747.21324858041,1,0,0,0,1
"125",138,2003,1888.05432593624,2436.05332330575,1658.55527503906,1,0,1,0,0
"128",138,2009,912.541797347689,1210.47837901847,5613.49552594887,1,0,1,0,0
"130",98,2008,671.586413436606,32.6955951056219,3038.89364749922,1,0,0,0,1
"131",88,2009,1533.85347633597,720.529278410561,1059.83052612316,0,0,0,1,0
"135",102,2010,789.534377039882,1935.13936764378,3546.35685260967,0,0,0,0,1
"136",91,2007,1411.51985604375,214.641918761391,478.834267160822,0,1,0,0,0
"138",103,2010,644.286435776727,1650.8682576691,722.298975709575,0,0,0,1,0
"139",126,2006,1283.49999443695,1724.79485345106,1667.99250825299,1,0,1,0,0
"142",85,2006,979.229355450783,196.341081953767,1308.636727136,0,1,0,0,0
"145",163,2004,1760.4994651853,2000.47763535495,5176.35201655822,1,0,1,0,0
"147",133,2002,1109.5477659786,162.431857843828,602.612933252773,0,0,0,0,1
"149",151,1998,3042.07167210498,864.002089941255,6058.26695734731,1,0,0,1,0
"150",88,2002,1249.45933176655,1867.10691317715,5713.52951066474,0,0,0,1,0
"151",115,2007,1552.98415271868,1537.16238599021,3739.34381964885,0,0,0,0,1
"155",90,2005,812.349767156834,681.799651664806,2044.58011727408,0,0,0,0,1
"156",154,2003,1358.40271181871,1986.84245476843,2150.6080005148,1,0,0,0,1
"158",127,2009,3303.25048281239,1685.32254353479,1532.5948039254,1,0,1,0,0
"159",121,2002,2493.88982588692,1129.78745376206,5561.42326162503,1,0,1,0,0
"162",121,2005,730.466387429765,771.641271222229,1622.44832015255,0,0,0,1,0
"163",163,2009,857.990041353943,3606.80628369885,1493.9777396871,1,0,1,0,0
"164",127,1998,1091.92826417245,2031.93917607908,4505.22827919363,0,0,0,1,0
"165",138,2003,972.476798237774,1640.38652256926,6723.60084888749,0,0,0,1,0
"167",124,2005,1177.42578834207,1697.79435130004,3857.74613538915,0,0,1,0,0
"168",106,2001,1088.47591442889,1072.05539542853,1737.95740420406,0,0,0,1,0
"170",128,1999,1218.73097395124,747.651529006913,1792.03374366772,0,0,0,0,1
"171",138,2003,648.071028767007,2721.82830668653,5612.42791452297,1,0,0,0,1
"174",114,2008,1656.6943883402,1562.31705937957,2157.50943161202,1,0,0,1,0
"180",115,2007,1893.28754219844,1549.14766736713,8367.79125564463,1,0,0,1,0
"181",90,2008,1545.30133960769,165.976139189189,1075.23675364968,1,0,0,1,0
"185",116,2005,1546.85027370677,2265.37499822519,8047.00282761611,1,0,0,1,0
"186",147,2003,1434.28848584389,554.462892489198,6749.88943205423,1,0,0,1,0
"188",100,2010,906.871896259438,1639.59557486969,1734.78106905612,1,0,0,1,0
"191",141,2004,2159.86202781612,1894.06481971064,4842.70142905511,1,0,1,0,0
"192",165,2008,1017.62645228254,1524.11590504197,2588.44599138901,0,0,0,0,1
"194",82,2000,308.50625496575,621.852463532062,860.588394571379,0,0,1,0,0
"196",95,2010,1699.67402136001,165.976139189189,1249.40111074488,1,1,0,0,0
"197",152,2001,1893.80960183799,1925.75938571023,4861.77370228156,1,0,0,0,1
"199",143,2003,1834.64832179142,712.089582727737,5802.24071461623,1,0,0,1,0
"201",149,2006,757.402656363851,1221.39805556228,4199.74777207779,1,0,1,0,0
"203",133,2003,1632.999977314,1448.93239167018,2355.83640625353,0,0,1,0,0
"206",106,2010,1686.27546021423,2166.570128553,4753.68237359118,0,0,1,0,0
"207",113,1990,707.3739263439,355.169178521256,1366.7587663282,1,0,0,1,0
"208",102,1999,599.514580238715,686.889638578616,1324.76060028135,0,0,0,1,0
"210",125,1997,770.382233680667,1865.98470020097,3467.52556226063,0,0,0,1,0
"211",104,2000,843.610882745555,1609.67202871343,1891.95474925726,1,0,0,0,1
"212",124,2004,1149.12372132974,1515.03721015942,6395.54182876476,1,0,1,0,0
"213",123,2000,1244.52851657439,1527.4034259347,4921.63684635501,0,0,1,0,0
"214",130,2000,1590.8570994152,1848.11181314496,1358.07173832632,0,0,1,0,0
"215",92,2007,1093.67806159634,1888.23687941628,2516.8438275944,0,0,0,1,0
"217",114,2007,796.975990111183,1123.30834118888,2325.23472947864,0,0,0,0,1
"219",106,2003,1950.55877068189,1104.04982772487,735.448129553294,0,0,0,1,0
"221",78,2002,729.424286388958,1082.06776804945,640.302461929009,0,0,0,1,0
"223",119,2004,967.953554477865,72.6187744341586,5788.17909270815,0,0,0,1,0
"225",135,2008,1013.84164985373,2512.44280981088,2457.16978841029,0,0,1,0,0
"226",121,2010,999.897518932758,1087.34432982545,2007.49778509476,0,0,0,0,1
"227",109,2010,1261.05447663074,1832.61214051307,4968.38786940827,0,0,0,1,0
"229",140,2005,1858.70883725318,93.973351446859,1542.26534277099,1,0,1,0,0
"230",142,2002,1758.43501270497,93.973351446859,1670.74496979799,1,0,1,0,0
"231",92,2001,1760.72062548575,651.592235718251,3689.57612396668,1,0,0,0,1
"233",136,1999,2259.46721388724,93.973351446859,1459.13275345834,1,0,1,0,0
"235",134,2002,1160.62915554404,604.960145223269,2513.14226750647,0,0,0,1,0
"239",108,1997,474.606478140551,1476.16716910795,2892.55995046465,0,0,0,0,1
"242",108,2006,1585.96576401029,1510.55055893898,1726.30665117085,1,1,0,0,0
"244",119,1997,1588.58465025618,162.431857843828,1261.78366137619,0,0,0,0,1
"245",165,2000,1361.52442051076,721.20546030841,6458.90843519121,0,0,0,1,0
"246",125,2004,2427.92909211278,2212.30777051381,4121.13271302617,1,0,0,0,1
"247",120,2005,1055.04217784518,1091.24616108143,1816.69118955439,1,0,0,1,0
"249",170,2004,2882.56741916553,2621.47685218836,6612.11868893427,0,0,0,0,1
"250",85,2010,772.526086317744,1753.93956964541,1450.59610030336,0,0,0,0,1
"254",76,2004,835.76892559743,574.998727230186,1274.32973460373,0,0,1,0,0
"258",121,1997,896.643862624172,1206.91653438212,4168.88641689943,0,0,0,1,0
"260",128,2007,1232.05489051157,1748.4286188365,5391.02916340169,1,0,0,1,0
"261",178,2001,1858.42341153744,684.627516982122,2870.76709513515,1,0,0,0,1
"262",120,2004,1747.97967695555,317.863426333089,3655.14697879978,0,0,0,1,0
"263",157,2001,2026.76402228242,513.207141798676,2014.99188499764,0,0,0,0,1
"264",82,2003,528.338423587983,2063.53545731952,896.347012422868,0,0,0,0,1
"265",115,2004,968.908312802254,1455.33293334087,3629.30074381936,1,0,0,1,0
"266",144,2005,1757.16267872003,1738.51924857665,6582.38886257781,1,0,1,0,0
"267",84,1999,896.579706755289,522.582908011006,688.351908453352,0,0,0,0,1
"268",97,2009,970.824547723251,607.694322335808,1533.82243077873,1,0,0,0,1
"270",136,2005,1672.75875093867,2289.33386161909,4322.44760646226,1,0,0,1,0
"271",104,2001,490.234758675035,600.447579566834,85.6485880521174,0,0,1,0,0
"272",118,2000,1834.21237588686,823.980494076167,2331.77135092863,1,0,0,1,0
"273",155,2000,1783.32416874677,2180.43156639118,6822.4825280778,1,0,1,0,0
"274",145,2002,1514.23600694622,2074.62152494549,6861.87115252489,1,0,0,1,0
"275",161,2002,2374.42773742726,1894.06481971064,4895.13813098147,1,0,0,0,1
"276",144,2006,1597.94771019031,240.216179183368,5477.82163587028,1,0,0,0,1
"277",119,2001,1513.01755228727,1272.47916065549,2055.78004601944,0,0,0,1,0
"278",137,1991,1101.28770714846,397.409423933279,2864.97164397698,1,0,0,1,0
"279",140,2009,2308.04008955284,2152.3212892548,5311.96669418975,1,0,0,1,0
"280",157,2007,3333.94233537569,2291.91058482285,5242.40984060688,1,0,0,0,1
"281",141,1994,616.113301132927,1222.03406720782,1798.31510323577,1,0,0,1,0
"282",106,2009,1436.95268907357,2359.61050190446,1618.46702312939,1,0,0,1,0
"283",98,2010,1234.86193594881,3388.0188817329,486.616359799766,0,0,0,0,1
"284",107,2010,1849.9733909212,1059.3479739208,577.077633568548,0,0,0,1,0
"285",115,1996,1217.37485698384,1821.89415738015,3625.56220246,0,0,0,1,0
"287",91,1996,823.552328527399,574.998727230186,1263.86011457369,1,0,0,1,0
"288",78,2000,472.199719667968,621.852463532062,1268.09459215635,1,0,0,0,1
"290",131,2004,1502.37406328674,816.101375088409,4646.27699102117,1,0,0,0,1
"291",104,2006,881.546680866726,2166.59696159115,2395.32431386285,0,0,0,0,1
"292",101,2009,1024.00962211386,2372.32612458987,312.117877074227,1,1,0,0,0
"294",103,2010,974.244458012638,1584.05743019385,2241.68450395134,0,0,0,0,1
"295",121,1999,775.876859918311,34.6656237417124,5056.03149950177,0,0,0,0,1
"296",143,2006,873.346333255197,2022.72280355656,5312.02834571477,1,0,0,0,1
"298",121,1995,1037.78015547914,1824.16601927071,1464.64269170964,0,0,1,0,0
"299",129,1997,705.726658942391,986.127480009167,2474.60034410501,1,0,0,0,1
"301",97,2010,1085.26310901208,2184.6898187257,510.635509222278,1,0,0,1,0
"302",104,2004,974.666393265889,2189.86522705941,5253.70201406628,0,0,0,1,0
"304",95,2002,1201.6473518031,621.852463532062,2088.45416986342,0,0,0,0,1
"305",102,2009,377.640207442832,1963.05924578041,1673.42497242268,0,0,0,1,0
"308",94,2005,395.889272741931,616.822728168539,676.495317266056,0,0,0,0,1
"310",95,2002,989.126869433265,724.43778256795,677.489799095436,0,0,0,1,0
"311",115,2010,2634.83023432597,2491.6354094763,5978.90785946666,0,0,1,0,0
"313",110,1997,318.091842399118,54.3077570043602,1741.20021664332,0,0,0,1,0
"314",130,2001,825.298426938785,1510.07427858487,972.33061697357,0,0,1,0,0
"315",167,2002,2337.81554045443,606.224308254259,2736.0315056029,1,0,0,0,1
"316",85,2007,620.363088366715,1098.10507283207,618.563039228925,0,0,0,1,0
"317",93,2004,923.568945693584,1520.5595339701,1065.15918143791,0,0,0,1,0
"318",144,2001,2195.55668544357,501.115234186416,8215.27248312534,1,0,0,0,1
"320",126,1997,2468.38624159163,1069.01775655317,4788.18479902607,1,0,1,0,0
"321",146,2010,856.05597416653,969.630937217168,582.753841615239,0,0,1,0,0
"322",89,2000,663.48034514276,619.839567795276,2429.97877827724,0,0,1,0,0
"325",136,2009,1017.44982277175,802.227396452301,3047.51027216487,0,0,0,0,1
"326",100,2003,1346.5495086926,76.5935084880651,2844.14787824822,1,0,1,0,0
"327",201,2003,2130.60861734493,670.572825716495,2910.84781647484,1,0,0,0,1
"328",179,2002,2041.8229840542,684.627516982122,3180.08180447548,1,0,0,0,1
"330",100,2001,860.050140599818,1694.03177377932,2777.53521579696,0,0,0,1,0
"332",92,2001,715.508940759943,331.572197608582,4090.86880330512,0,0,0,1,0
"334",95,2008,607.347528276076,1487.97460050567,3733.82609598802,0,0,0,0,1
"336",137,2004,787.391483162511,853.907828238581,4844.29925989789,0,0,1,0,0
"337",115,2004,1408.12583734359,651.592235718251,2515.45193581725,1,0,0,0,1
"338",119,1995,894.58961473222,689.694145325747,1021.15332250378,0,0,0,0,1
"339",118,2010,1811.66181300329,1125.96130989064,3320.70918752816,0,0,0,0,1
"340",98,1997,1380.95601458843,828.735710297552,5399.67106878681,1,0,0,1,0
"341",92,1999,1198.11207682667,76.5935084880651,3506.07679149081,1,1,0,0,0
"342",98,2010,994.550527667756,1461.07604098018,2090.28898983116,1,0,0,0,1
"343",90,2001,705.609148108589,600.447579566834,643.960886582101,1,0,0,1,0
"344",130,2000,851.378514936549,1707.53666849462,4992.33099189143,0,0,0,1,0
"345",90,2009,1556.14602909643,1098.10507283207,711.221308499759,1,0,0,1,0
"346",94,2009,1310.94432329161,107.128921775023,459.783443663079,1,0,0,1,0
"348",98,2000,1343.03108381255,1038.3712028796,2140.05971680086,0,0,0,0,1
"349",151,2006,3068.9467997162,2025.13883167771,4582.46098446281,1,1,0,0,0
"350",88,1998,938.741845599044,621.852463532062,1146.04374762052,1,0,0,1,0
"351",107,2008,2404.24978348819,564.015696434777,2324.75991478757,1,0,0,1,0
"353",128,1995,1061.38400994281,1255.6059462316,1936.15944999762,1,0,1,0,0
"354",128,2009,1551.67146492192,2369.04239661051,2319.56272761795,1,0,0,0,1
"356",95,2001,543.843356458171,621.852463532062,2468.97208972482,1,0,0,1,0
"358",121,2008,1777.39805961234,1077.04554238126,2399.05741258036,1,0,0,0,1
"359",113,2008,2019.28092868677,1604.57506037494,1599.47447495702,0,0,0,1,0
"361",146,2001,1814.66572516086,2557.32584263833,9373.9646022687,1,0,0,1,0
"362",99,2003,820.087837505791,602.573141061909,726.453278637049,0,0,0,0,1
"363",150,1997,2376.75129827504,1800.31132546639,6701.10139498252,1,0,0,1,0
"364",112,2000,579.052062184324,562.224627266339,785.982803143656,0,0,0,1,0
"365",128,2005,937.444917476896,2113.10477962993,4774.09389600139,0,0,1,0,0
"367",117,2003,913.493728251029,1678.55245004163,1505.08812205941,0,0,0,1,0
"369",116,1997,973.789436548339,1534.89638271919,1099.89244247674,0,0,1,0,0
"370",126,2001,808.101764784657,1569.35326430455,2248.44852944114,0,0,0,0,1
"371",114,2000,517.051542611322,893.462763121413,1569.19536540963,0,0,1,0,0
"373",131,1999,865.284879112112,1360.01872015223,966.656074261932,0,0,0,0,1
"374",104,1997,1037.80629576225,1191.20269951952,922.602157598062,0,0,1,0,0
"375",107,1997,1062.25325354398,1038.3712028796,1114.36673098207,0,0,1,0,0
"376",138,2002,1163.18900106955,1837.78247443152,919.203224960892,0,0,0,1,0
"377",129,1982,609.833138088757,1542.53805155984,2291.68988429927,1,0,1,0,0
"378",144,2005,1797.1160793315,2832.4028474689,2830.39286721034,0,0,0,1,0
"379",110,2010,564.903318624452,15.0792147485224,32.8319169757578,0,0,0,0,1
"380",141,2003,878.106487053164,2437.78044969647,3284.54312681727,0,0,0,1,0
"381",113,1996,940.903988871984,3540.07160252464,5194.98405682614,1,0,1,0,0
"382",143,2000,452.345492446502,1750.14366374962,1429.6187707046,1,0,0,0,1
"383",108,2006,1239.56198262511,73.2441341330867,1901.18548834138,0,0,0,0,1
"384",108,2004,1907.72277558546,1564.07739260473,7154.26462935223,1,0,0,1,0
"385",124,1997,1801.43249902722,583.692747163979,3899.89078578805,1,0,0,1,0
"386",116,2001,1767.04447063593,2314.72976377158,4409.10019459289,1,0,0,0,1
"389",107,2007,736.283530725073,599.278278707984,1208.93110978634,0,0,0,0,1
"391",100,2000,239.083433801209,576.411077280196,351.484847597944,0,1,0,0,0
"393",136,2006,1449.32843269262,2945.19932932485,1010.78498495549,1,0,0,0,1
"394",132,1998,2736.14991038631,1040.03413379062,1945.43163004486,1,0,0,0,1
"395",121,2009,1102.10220064276,2168.03547465063,1680.92630928164,0,0,0,0,1
"396",122,2007,1943.80420571093,2201.06926400013,3129.41371983137,1,0,0,1,0
"397",83,2006,835.115281129325,59.7338699524782,640.643235490308,0,0,0,1,0
"399",131,2001,827.771834375803,1507.67971092057,2837.82367721006,1,0,1,0,0
"400",104,2003,1213.11752334538,2620.30963577431,1520.22832727548,0,0,0,1,0
"401",130,1993,1402.15169586753,521.6468374815,3444.62715345034,1,0,0,1,0
"402",145,2005,744.819023544615,1179.74489928825,2017.08098106007,0,0,0,0,1
"403",104,2006,1096.50298131841,1442.65383905347,3524.85396427901,0,0,0,1,0
"405",178,1998,858.313135752297,1470.76407237616,3641.97434433341,1,0,0,0,1
"406",108,2002,1297.22881682683,1884.57777725295,5885.31265983671,0,0,0,0,1
"407",123,1979,504.467064524709,1704.4098413182,420.161174855292,0,0,0,0,1
"409",112,2010,1280.37126807997,1485.08143050539,332.282729679653,0,0,0,1,0
"410",136,2003,1636.9869874429,1505.74480284009,6725.75882884875,0,0,1,0,0
"411",106,2000,495.624531281531,1609.67202871343,958.375644976304,0,0,0,1,0
"412",88,2002,372.680138294216,1947.86555807465,3547.24785889827,0,0,0,1,0
"414",107,2006,1321.08421874888,911.854766552889,1244.57754919793,0,0,0,1,0
"415",120,1982,401.382541546224,1790.67210344141,55.7946430548004,0,0,0,0,1
"416",82,2010,1174.63956694301,333.733798473977,402.35941243222,0,0,0,1,0
"417",88,2008,1133.61690444247,505.683486755508,3622.38235276195,0,0,0,0,1
"418",120,2008,571.577648554425,2027.19289592501,1028.07224860737,1,0,0,1,0
"419",157,2007,1949.61650681984,3300.6169129127,2669.88682607976,1,0,1,0,0
"420",123,2000,701.124055044456,85.2643280583543,2187.80154165756,0,0,0,0,1
"421",101,2003,867.226882308167,1657.40349616167,3745.05400551182,1,0,1,0,0
"422",103,2010,1491.49149400217,173.314986414528,4424.55455300458,0,0,0,1,0
"423",110,1996,1360.29745198699,1520.05611436136,3849.71277873136,1,0,1,0,0
"426",126,1992,791.452926066134,1865.98470020097,1684.15433549918,1,0,0,1,0
"427",83,2006,1232.49019093812,208.468680434624,431.095556151268,1,0,1,0,0
"428",85,2002,340.707662664529,621.852463532062,1991.49053022757,1,0,0,1,0
"429",97,2006,1716.11234096531,1436.03965373779,1500.79330435682,0,0,0,0,1
"430",120,1998,1770.80152843544,1892.3321825512,4793.21243601575,0,0,1,0,0
"432",113,2005,1498.01727802505,2115.87152585015,1087.02795738441,0,0,1,0,0
"435",110,2008,1313.1227277759,2443.47077151787,1188.71675001526,0,0,0,1,0
"436",128,2003,766.969363758998,2320.56457583478,706.719036730625,0,0,0,0,1
"437",138,2010,1891.41463006148,1582.42505875255,2326.81847010974,1,0,0,0,1
"438",88,2008,1317.5294869927,836.408880225129,1071.73330447053,0,0,0,0,1
"439",91,2005,1586.05307736508,107.128921775023,1924.42623417023,0,0,1,0,0
"440",138,1997,1236.46939695965,2159.22267943822,3251.8289325609,1,0,0,1,0
"441",99,2008,1369.07723661215,696.83474169462,169.456454193229,0,0,0,0,1
"442",117,2002,1673.62507320183,1692.83580773735,5089.39729128319,1,0,0,1,0
"444",115,1997,2099.64263286708,838.963377011643,2712.83407493055,1,0,0,1,0
"445",118,2008,1189.10739337798,560.794716996602,6295.81812465471,1,0,0,1,0
"446",154,2003,2183.01530561876,694.324530244434,4425.72453372804,0,0,0,0,1
"447",118,2010,1324.20705064931,307.874825618239,3042.34780778286,1,0,0,0,1
"448",93,1997,719.489524332972,576.459525982591,782.289589576866,0,0,0,0,1
"449",113,1999,954.777492514864,45.6723929114967,5121.79812658289,0,0,0,1,0
"450",88,1996,852.581633440716,47.8442362887761,4457.58267201423,1,0,0,0,1
"451",93,2006,971.237939664145,1702.9732953782,1106.20043221405,0,0,0,0,1
"452",104,2008,948.51591937987,1387.12024866447,3482.33142324012,0,0,0,0,1
"453",135,1997,709.041186888217,2031.93917607908,1664.1334859967,0,0,0,1,0
"455",98,1998,1376.4571290386,782.514332402155,1876.12808197776,0,0,0,1,0
"456",80,2010,551.567777656187,183.356224208775,625.674253581619,0,0,0,0,1
"457",83,2002,641.571844057164,619.839567795276,1245.20213644628,1,0,1,0,0
"459",130,1998,740.45347188284,627.95886141092,3057.23896818336,0,0,1,0,0
"460",129,2004,2052.3464468869,1659.21225829715,3876.40662909711,0,0,0,1,0
"461",117,1998,322.533910175682,17.6331068936947,29.3885114894912,0,0,1,0,0
"463",74,1999,245.264635587982,574.998727230186,1081.26811385414,0,0,0,0,1
"464",96,2002,747.372672630494,2248.67026434344,1312.4734159515,0,0,1,0,0
"465",114,1998,982.36061244848,587.593127879644,1190.4088914192,0,0,0,0,1
"466",99,2001,1409.66784805629,2433.65185734184,833.833700506932,1,0,0,1,0
"467",129,2005,560.923689830682,804.662597056416,2144.14100313182,0,1,0,0,0
"468",113,1998,663.248889461358,71.1778644636261,817.928064255296,0,1,0,0,0
"469",90,2000,996.897349569289,713.403360652298,477.973128330776,0,0,0,0,1
"470",118,2005,1095.20555360181,1408.13900547107,3772.12091632946,0,0,0,1,0
"471",106,1996,1444.19006695842,56.1622626868482,2114.43405165635,1,0,0,0,1
"472",117,1997,633.507870937237,47.3750297306989,769.362675277585,0,0,0,1,0
"473",89,2009,1180.5546404443,793.463622945442,2179.73271520084,0,0,0,1,0
"474",145,2000,477.34527021251,640.041207515083,1837.28834947883,0,0,0,0,1
"475",115,1996,787.068922292484,1607.74105733295,3045.70160143888,0,0,0,0,1
"477",118,2000,782.755841198362,2026.4918027731,341.127118641182,0,0,1,0,0
"478",90,2003,1419.87727483163,1892.0016078924,2119.96314273942,0,0,0,0,1
"479",112,2009,806.522196915583,631.682054939832,299.235790403905,0,0,0,0,1
"480",116,2003,1181.83869050635,1624.86460753929,3619.46485503497,0,0,0,0,1
"481",177,1997,1163.5049555113,1834.4004636856,1411.43420163871,0,0,0,0,1
"482",92,1998,1074.83932750975,51.4129897338689,897.885296150213,0,0,0,0,1
"484",106,2000,664.254020603441,2251.76940141879,2875.86561730948,0,0,0,0,1
"485",94,2006,791.479162850115,160.078394499762,1643.75997946471,0,0,0,0,1
"486",84,2009,157.018568753815,440.006215925406,57.8230860842273,0,1,0,0,0
"487",110,2005,674.502133254126,478.818655613969,973.475028965479,0,0,1,0,0
"489",135,2001,1369.20812337286,2063.53545731952,3486.25031345414,1,0,0,0,1
"490",89,1994,1250.19177735051,621.852463532062,1749.96301927857,1,0,0,1,0
"493",124,2002,1296.21630768836,2027.87351021655,877.850670281694,0,0,0,1,0
"494",136,2004,612.681041225693,771.527390649808,3255.22691336254,0,0,1,0,0
"496",107,2003,1210.06959236475,1616.53957544378,2691.59953165425,0,0,0,1,0
"498",99,2007,882.871745662347,2392.98826581803,1367.47156739674,0,0,0,1,0
"499",88,2000,1318.68698346773,1525.36160423697,487.104053148327,0,0,0,1,0
"501",110,2003,855.702367511296,1246.1535224278,4244.32050291955,0,0,0,1,0
"503",145,1996,1897.05520651509,1257.0464961977,2602.57708036234,1,0,0,1,0
"504",129,1997,1305.67658846741,1734.10929431121,5830.96746350498,0,0,1,0,0
"505",86,2005,886.699599801005,662.332109040711,1626.51369369199,1,0,1,0,0
"506",109,2006,1885.83184374771,1488.46504022951,4769.45730258297,0,0,0,1,0
"507",104,2000,1207.4892471122,1445.07202665128,1756.02292027669,0,0,0,1,0
"508",110,2008,1094.41239258471,2260.39471719564,1791.39209386963,1,0,0,1,0
"509",136,1996,1724.02522280071,202.441950911357,2832.34736096582,1,0,0,1,0
"510",91,2006,1474.59613974776,107.128921775023,566.936100704771,1,0,1,0,0
"511",99,2004,1173.24597244445,737.015182164483,3376.79365253987,1,0,0,0,1
"512",117,2007,1441.18803597206,814.336391076958,664.714777291495,1,0,0,1,0
"513",114,2004,362.506157513198,133.441445510364,870.232167580803,0,0,0,1,0
"514",78,1999,486.989327814712,631.184028296859,264.418332735685,0,0,0,1,0
"516",102,2010,1125.59054831958,1588.97538805058,144.405845615231,0,0,0,1,0
"517",128,2004,1240.90304177865,785.982481139482,5271.47938784502,1,0,0,1,0
